tconst,watched,priority,netflix,prime
tt0015324,0,0,,
tt0017136,1,0,0,0
tt0017925,0,0,,
tt0022100,1,0,0,0
tt0025316,0,0,,
tt0031381,0,0,,
tt0031679,0,1,,
tt0032138,1,0,,
tt0032551,0,0,,
tt0033467,0,0,0,0
tt0034583,0,0,0,0
tt0035446,1,0,,
tt0036868,1,0,,
tt0040522,0,0,,
tt0041959,0,1,,
tt0042876,0,0,,
tt0044741,0,0,,
tt0046268,0,0,,
tt0046912,0,0,,
tt0047396,0,0,,
tt0048021,0,0,,
tt0050083,1,0,,
tt0050212,0,1,,
tt0050825,0,0,,
tt0050976,0,0,,
tt0050986,0,0,,
tt0051201,0,0,,
tt0051790,1,0,,
tt0052357,1,0,,
tt0053125,0,0,,
tt0053198,0,0,,
tt0053291,0,0,,
tt0053604,0,0,,
tt0054135,1,0,,
tt0054215,1,0,,
tt0055031,0,0,,
tt0055630,0,0,,
tt0056172,0,0,,
tt0056592,0,0,,
tt0056869,1,1,,
tt0057012,1,0,,
tt0057115,0,0,,
tt0057565,0,0,,
tt0058946,0,0,,
tt0059527,0,0,,
tt0059578,1,0,,
tt0059742,1,0,,
tt0060196,1,0,,
tt0060827,0,0,,
tt0061512,1,1,,
tt0062622,1,0,,
tt0064116,1,0,,
tt0065488,0,0,0,0
tt0065528,0,0,0,0
tt0066434,1,0,,
tt0066921,1,0,,
tt0067277,0,1,0,0
tt0067805,0,0,0,0
tt0068646,1,0,,
tt0069704,0,0,,
tt0070047,1,0,,
tt0070379,0,0,0,1
tt0070735,0,0,,
tt0071315,0,0,,
tt0071360,0,1,,
tt0071411,0,0,,
tt0071853,1,0,,
tt0073195,1,0,,
tt0073486,1,0,,
tt0073629,1,0,0,0
tt0074486,1,1,0,0
tt0074958,0,0,,
tt0075148,1,0,,
tt0075314,1,0,,
tt0075784,0,0,,
tt0077416,0,0,0,0
tt0077745,0,1,0,0
tt0078748,1,1,,1
tt0078788,1,0,0,1
tt0079180,0,0,,
tt0079470,1,0,,
tt0079501,0,1,,
tt0080455,1,0,,
tt0080678,1,0,,
tt0080745,0,0,0,0
tt0081398,1,0,,
tt0081505,1,0,,
tt0082096,1,0,,
tt0082198,1,1,,
tt0082509,1,0,,
tt0082971,1,0,,
tt0083658,1,1,,
tt0083987,0,0,,
tt0084293,0,0,0,0
tt0084503,0,0,0,0
tt0084787,1,0,,
tt0086250,1,0,,
tt0087332,1,0,,
tt0087469,1,0,,
tt0087843,1,0,,
tt0087985,0,1,,
tt0088247,0,1,,
tt0088763,1,0,,
tt0089881,0,0,,
tt0090329,0,0,,
tt0090605,0,0,,
tt0091042,1,0,,
tt0091149,0,0,0,0
tt0091251,0,0,,
tt0091763,1,0,,
tt0092005,1,0,,
tt0092099,0,0,,
tt0093058,1,0,,
tt0093105,0,0,,
tt0094137,0,0,,
tt0094142,1,0,,
tt0094721,1,0,,
tt0094898,1,0,,
tt0095016,1,0,,
tt0095031,0,0,,
tt0095174,0,0,,
tt0095705,1,0,,
tt0095953,1,0,,
tt0096283,1,0,,
tt0096438,0,0,0,0
tt0096754,1,0,,
tt0096764,0,0,,
tt0096928,1,0,,
